Artist,Song,Album,Year,Duration
Snoop Dogg,Gin & Juice,Doggystyle,1993,3.32
Dr. Dre,Stranded on Death Row,The Chronic,1992,4.47
Nas,If I Ruled The World,It Was Written,1996,4.44
Mobb Deep,Hell On Earth,Hell On Earth,1996,4.35
Rakim,Stay A While,The 18th Letter,1997,4.25
Gang Starr,Above The Clouds,Moment of Truth,1998,3.42
Tha Dogg Pound,New York New York,Dogg Food,1995,4.51
Common,The Corner,Be,2005,3.45
Stevie Wonder,Saturn,Songs In The Key of Life,1976,7.08
Marvin Gaye,Mercy Mercy Me,What's Going On,1971,3.17
Aaliyah,One In A Million,One In A Million,1996,4.31
UGK,Murder,Ridin' Dirty,1996,3.52
OutKast,ATLiens,ATLiens,1996,3.5
Scarface,I Seen A Man Die,The Diary,1994,4.32
Big L,M.V.P.,Lifestylez ov da Poor & Dangerous,1995,3.4
The Diplomats,I Really Mean It,Diplomatic Immunity,2003,4.21
Tracy Chapman,Fast Car,Tracy Chapman,1988,4.57
Tha Dogg Pound,D.P.G.,Dillinger & Young Gotti,2001,4
